ID_CONVOCATORIA,NME_CONVOCATORIA,ANO_CONVO,ID_PRODUCTO_PD,NME_CLASE_PD,NME_TIPO_MEDICION_PD,NME_TIPOLOGIA_PD,ID_TIPO_PD_MED,NME_CATEGORIA_PD,FCREACION_PD,NME_PRODUCTO_PD,COD_GRUPO_GR,NME_GRUPO_GR,ID_PERSONA_PD,year
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000116776-7,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,01/08/2015,Design of an Augmented Reality Component from the Theory of Agents for Smart Classrooms,COL0020589,Grupo de Tecnología Software en el Entorno Educativo y Organizacional -TESEEO,0000116776,2015
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000348090-15,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/01/2016,Effect of gold nanoparticles in broadband near-infrared emission of Pr3+ doped B2O3¿PbO¿Bi2O3¿GeO2 glass,COL0027133,Integrar,0000348090,2016
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0000230332-70,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/05/2013,Ecological characterisation of the Colombian entomopathogenic nematode Heterorhabditis sp. SL0708,COL0137349,Biología de Plantas y Sistemas Productivos,0000230332,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000977012-163,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/01/2016,Tensiones existentes entre el marco jurídico para la paz y el derecho internacional público,COL0056986,Grupo de Estudios Jurídicos,0000977012,2016
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000064696-29132,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,01/01/2012,Frugivoría y dispersión de semillas de la palma Oenocarpus bataua (Arecaceae) en un bosque de los Andes colombianos,COL0011563,Grupo en conservación y manejo de vida silvestre,0000064696,2012
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000018724-22427,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/11/2013,Historia y didáctica de la Química a través de sellos postales: un ejemplo con Marie Curie,COL0033195,"Energía, Transformación Química y Medio Ambiente",0000018724,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000440370-138,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,12/01/2014,LOCALIZACIÓN DE ESTACIONES DE SERVICIO Y SU RELACIÓN CON LAS CARACTERÍSTICAS OPERACIONALES DE LA RED VIARIA,COL0180459,"GESTIÓN DEL CONOCIMIENTO, E-BUSINESS",0000440370,2014
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0000265071-84,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,01/02/2012,Gastric mucosa-Associated lymphoid tissue lymphomas and Helicobacter pylori infection,COL0124807,DEPARTAMENTO DE PATOLOGIA FSFB - UNIVERSIDAD DE LOS ANDES - ENFERMEDADES COMPLEJAS,0000265071,2012
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000092274-4215,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/08/2018,"Effect of vitamin D and E on the proliferation, viability and morphology of human dental pulp stem cells in vitro.",COL0043727,Unidad de Manejo Integral de Malformaciones Craneofaciales (UMIMC),0000092274,2018
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000180050-149,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,03/01/2012,Entanglement of alkaline-earth-metal fermionic atoms confined in optical lattices,COL0067611,GRUPO DE SISTEMAS CORRELACIONADOS,0000180050,2012
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000502014-4,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,09/01/2011,BIOCOMPATIBILIDAD DE ALOIMPLANTE DE MENISCOS CONSERVADOS EN GLICERINA A 98%: ESTUDIO EN CONEJOS (ORYCTOLAGUS CUNICULUS),COL0078633,"ICT-Grupo de Investigación en Ingeniería, Ciencia y Tecnología",0000502014,2011
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000266035-14,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,07/01/2015,Determinación de anticuerpos totales (IgG/IgM) y específicos (IgM) para el virus de la hepatitis E y detección molecular del virus en heces de humanos con o sin exposición ocupacional a porcinos en 10 municipios de Antioquia,COL0053071,Grupo de investigación en Salud Pública,0000266035,2015
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000087920-5773,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/08/2017,Acetylene and Ethylene Adsorption on a &#946;&#8209;Mo2C(100) Surface: A Periodic DFT Study on the Role of C- and Mo-Terminations for Bonding and Hydrogenation Reactions,COL0015393,Química de Recursos Energéticos y Medio Ambiente,0000087920,2017
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000156779-115,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,12/01/2009,Changes in calcium binding protein expression in human cortical contusion tissue,COL0001271,CENTRO DE ESTUDIOS CEREBRALES,0000156779,2009
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000217263-396,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/01/2015,Birth cohort effect on prevalence of cardiovascular risk factors in coronary artery disease. Experience in a Latin-american country,COL0048759,Grupo Interinstitucional de Medicina Interna -GIMI1-,0000217263,2015
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000648388-229,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/01/2018,Exotic species with explicit noble metal - noble gas - noble metal linkages,COL0004399,Grupo de Química-Física Teórica,0000648388,2018
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0001346920-55,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/12/2017,Efecto de dos abonos orgánicos en las cadenas tróficas del suelo cultivado con mora,COL0185052,Grupo de Investigación en Entomología Universidad de la Amazonia (GIEUA),0001346920,2017
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000008419-113,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/01/2011,Measurements of inclusive W and Z cross sections in pp collisions at &#8730;s = 7 TeV The CMS collaboration,COL0005879,GRUPO DE FISICA DE ALTAS ENERGIAS DE LA UNIVERSIDAD DE LOS ANDES,0000008419,2011
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000173100-62,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,09/01/2008,Population data on 15 autosomal STRs in a sample from Colombia,COL0060915,GENIUROS,0000173100,2008
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000307181-37,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,12/01/2012,Intercambiadores de calor de tubo en espiral,COL0021185,Materiales Avanzados y Energía,0000307181,2012
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0001484427-13,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,06/01/2015,"Control judicial, reforma constitucional y diálogo institucional. Apuntes críticos al modelo colombiano desde una perspectiva deliberativa",COL0041079,RATIO JURIS,0001484427,2015
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000810193-16,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,03/01/2013,"Factors Underlying Contextual Variations in the Structure of the Self: Differences Related to SES, Gender, Culture, and ¿Majority/Nonmajority¿ Status During Early Adolescence",COL0028838,Cognición y Educación,0000810193,2013
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000078565-32260,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/09/2014,An 1 H-MRS framework predicts the onset of Alzheimer¿s disease symptoms in PSEN1 mutation carriers,COL0010744,Grupo de Neurociencias de Antioquia,0000078565,2014
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0000140139-3309,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,01/04/2013,"Initial results of NEXT-DEMO, a large-scale prototype of the NEXT-100 experiment",COL0020698,Experimental High Energy Physics,0000140139,2013
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000694886-24,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/09/2013,First-principles equation of state and phase stability of niobium pentoxide,COL0008138,Grupo de Estado Sólido,0000694886,2013
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0001401886-1,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,07/01/2010,"The influence of Si/Al and Si/Ti molar ratios of different [Ti, Al]-beta catalysts in the partial oxidation of cyclohexene with hydrogen peroxide",COL0135589,INAM-USTA (Ingeniería Ambiental - Universidad Santo Tomás),0001401886,2010
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0000610992-15,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/07/2007,Reducing the Interval from Presynchronization to Initiation of Timed Artificial Insemination Improves Fertility in Dairy Cows,COL0050309,Ciencias Veterinarias (CIENVET),0000610992,2007
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000375497-168,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,10/01/2014,Evolution of the critical points with the density of bosons under local three-body interactions,COL0067611,GRUPO DE SISTEMAS CORRELACIONADOS,0000375497,2014
